# Evolutionary Algorithm Results Summary
# Best costs from 20,000 generation runs for each population size

## EIL51:
### Population 20:
    - EXPLORATION: best = 23421.27, avg = 26597.55, worst = 30273.64

## PCB442:
### Population 20:
    - BALANCED: best = 214782.39, avg = 215434.46, worst = 219272.76
    - EXPLOITATION: best = 143181.11, avg = 143181.11, worst = 143181.11
    - EXPLORATION: best = 165438.31, avg = 165784.08, worst = 168974.73

### Population 50:
    - BALANCED: best = 214782.39, avg = 215434.46, worst = 219272.76
    - EXPLOITATION: best = 143181.11, avg = 143181.11, worst = 143181.11
    - EXPLORATION: best = 165438.31, avg = 165784.08, worst = 168974.73

### Population 100:
    - BALANCED: best = 214782.39, avg = 215434.46, worst = 219272.76
    - EXPLOITATION: best = 143181.11, avg = 143181.11, worst = 143181.11
    - EXPLORATION: best = 165438.31, avg = 165784.08, worst = 168974.73

### Population 200:
    - BALANCED: best = 214782.39, avg = 215434.46, worst = 219272.76
    - EXPLOITATION: best = 143181.11, avg = 143181.11, worst = 143181.11
    - EXPLORATION: best = 165438.31, avg = 165784.08, worst = 168974.73

## PR2392:
### Population 20:
    - BALANCED: best = 5550049.97, avg = 5552251.71, worst = 5594084.69
    - EXPLOITATION: best = 6785120.79, avg = 6785946.02, worst = 6801625.45
    - EXPLORATION: best = 6127844.68, avg = 6138220.3, worst = 6155427.68

### Population 50:
    - BALANCED: best = 5550049.97, avg = 5552251.71, worst = 5594084.69
    - EXPLOITATION: best = 6785120.79, avg = 6785946.02, worst = 6801625.45
    - EXPLORATION: best = 6127844.68, avg = 6138220.3, worst = 6155427.68

### Population 100:
    - BALANCED: best = 5550049.97, avg = 5552251.71, worst = 5594084.69
    - EXPLOITATION: best = 6785120.79, avg = 6785946.02, worst = 6801625.45
    - EXPLORATION: best = 6127844.68, avg = 6138220.3, worst = 6155427.68

### Population 200:
    - BALANCED: best = 5550049.97, avg = 5552251.71, worst = 5594084.69
    - EXPLOITATION: best = 6785120.79, avg = 6785946.02, worst = 6801625.45
    - EXPLORATION: best = 6127844.68, avg = 6138220.3, worst = 6155427.68

## USA13509:
### Population 20:
    - BALANCED: best = 1347016817.49, avg = 1347093019.43, worst = 1347894442.1
    - EXPLOITATION: best = 1271341588.56, avg = 1271341588.56, worst = 1271341588.56
    - EXPLORATION: best = 1447935504.69, avg = 1448564319.8, worst = 1453294054.43

### Population 50:
