Algorithm,Generations,Best_Cost,Avg_Cost,Worst_Cost,Runtime_Seconds,Improvement,Improvement_Percent,Population_Diversity
BALANCED,2000,24647.0,26764.77,31034.12,13.67,45773.01,65.0,2.16
BALANCED,5000,19542.4,21158.41,23161.75,33.45,36293.03,65.0,0.0
BALANCED,10000,21228.59,23517.85,26138.63,66.01,39424.53,65.0,0.0
BALANCED,20000,18705.23,20406.63,22052.87,144.41,34738.29,65.0,0.0
EXPLORATION,2000,17957.76,28016.69,31073.9,19.2,33350.12,65.0,31.79
EXPLORATION,5000,18661.04,20440.26,23538.1,46.64,34656.21,65.0,13.58
EXPLORATION,10000,16050.56,17514.62,21450.85,85.62,29808.18,65.0,16.45
EXPLORATION,20000,16476.52,20234.46,25360.47,182.34,30599.25,65.0,50.0
EXPLOITATION,2000,16476.17,22727.53,25557.08,152.8,30598.61,65.0,50.0
EXPLOITATION,5000,13783.78,15084.29,16729.62,350.36,25598.44,65.0,50.0
EXPLOITATION,10000,12606.38,13616.95,14705.96,664.13,23411.85,65.0,50.0
EXPLOITATION,20000,10919.6,11857.68,13494.05,1516.31,20279.26,65.0,50.0
