Algorithm,Generations,Best_Cost,Avg_Cost,Worst_Cost,Runtime_Seconds,Improvement,Improvement_Percent,Population_Diversity
BALANCED,2000,956.45,1036.24,1163.14,5.08,1776.27,65.0,0.65
BALANCED,5000,841.85,926.45,1168.31,13.9,1563.43,65.0,1.53
BALANCED,10000,862.73,1160.43,1552.69,26.95,1602.21,65.0,2.21
BALANCED,20000,817.22,885.3,955.81,48.81,1517.69,65.0,0.0
EXPLORATION,2000,772.42,860.79,1001.02,6.53,1434.49,65.0,50.0
EXPLORATION,5000,650.56,713.05,963.03,17.07,1208.18,65.0,43.54
EXPLORATION,10000,677.83,747.69,925.01,36.18,1258.83,65.0,15.05
EXPLORATION,20000,627.64,714.81,847.0,72.33,1165.61,65.0,25.17
EXPLOITATION,2000,680.88,787.55,926.64,41.7,1264.48,65.0,50.0
EXPLOITATION,5000,617.7,667.93,764.43,89.55,1147.15,65.0,50.0
EXPLOITATION,10000,560.97,605.27,656.47,207.05,1041.81,65.0,50.0
EXPLOITATION,20000,556.55,606.19,736.63,378.47,1033.6,65.0,50.0
